method;size;time(ms);size/time(ms)
mergeTopDown;4000;109;36,69724771
mergeTopDown;5000;31;161,2903226
mergeTopDown;6000;78;76,92307692
mergeTopDown;7000;109;64,22018349
mergeTopDown;8000;204;39,21568627
mergeTopDown;9000;125;72
mergeTopDown;10000;265;37,73584906
mergeTopDown;11000;141;78,0141844
mergeTopDown;12000;172;69,76744186
mergeTopDown;13000;265;49,05660377
mergeTopDown;14000;281;49,82206406
mergeTopDown;15000;331;45,31722054
mergeTopDown;16000;235;68,08510638
mergeTopDown;17000;265;64,1509434
mergeTopDown;18000;297;60,60606061
mergeTopDown;19000;359;52,92479109
mergeTopDown;20000;360;55,55555556
mergeTopDown;21000;437;48,05491991
mergeTopDown;22000;486;45,26748971
mergeTopDown;23000;484;47,52066116
mergeTopDown;24000;547;43,87568556
mergeTopDown;25000;579;43,17789292
mergeTopDown;26000;624;41,66666667
mergeTopDown;27000;688;39,24418605
mergeTopDown;28000;719;38,94297636
mergeTopDown;29000;781;37,1318822
mergeTopDown;30000;844;35,5450237
mergeTopDown;31000;937;33,08431163
mergeTopDown;32000;1369;23,37472608
mergeTopDown;33000;1319;25,01895375
